NAME	Nom	Puit	Run	Milieu	CompoState	Lineage	Lineage.detail	Passage
R3H07BJP20	BJ1.R1 P20 RSeT	H07	3	RSeT	prime	BJ1	B1	20
R3H08MIP07	MIPS.R22 P7 RSeT	H08	3	RSeT	naive	MIPS	M3	7
P3H09WOP33	hESC WA01 P33 Hand picking	H09	3	mTeSR1	prime	WA01	WA	33
P3H10WNP36	hESC WA09 P36 Hand picking	H10	3	mTeSR1	prime	WA09	WA	36
K3H11BJP09	BJ1 B1 SEV2 KSR P9	H11	3	KSR+FGF2	prime	BJ1	B1	9
K3H12LEP09	LON80 B2 SEV2 KSR P9	H12	3	KSR+FGF2	prime	LONZA80	L8	9
R4C04LEP08	LON80.R1 P8	C04	4	RSeT	prime	LONZA80	L8	8
F4C05LEP05	Fibro LON80 P+5	C05	4	Fibro	somat	LONZA80	L8	1
A4C06LEP09	LON80.A P9	C06	4	T2iLGO	naive	LONZA80	L8	9
A4C07LEP15	LON80.A P15	C07	4	T2iLGO	naive	LONZA80	L8	15
A4C08LEP20	LON80.A P20	C08	4	T2iLGO	naive	LONZA80	L8	20
K4C09LEP07	LON80.B2 P7	C09	4	KSR+FGF2	prime	LONZA80	L8	7
A4C10HNP40	HNES1 P40	C10	4	T2iLGO	naive	HNES	HN	40
A4C11LEP09	LON80.A16-B1 P9	C11	4	T2iLGO	naive	LONZA80	L8	9
R4C12LEP08	LON80.R9 P8	C12	4	RSeT	naive	LONZA80	L8	8
R4D01LEP11	LON80.R9 P11	D01	4	RSeT	naive	LONZA80	L8	11
R4D02LEP16	LON80.R1 P16	D02	4	RSeT	prime	LONZA80	L8	16
R4D03LEP21	LON80.R1 P21	D03	4	RSeT	prime	LONZA80	L8	21
K4D04LEP06	LON80.B3 P6	D04	4	KSR+FGF2	prime	LONZA80	L8	6
K4D05LEP16	LON80.B2 P16	D05	4	KSR+FGF2	prime	LONZA80	L8	16
A6F05LSP15	LON80.A P15 T2il-Go	F05	6	T2iLGO	naive	LONZA80	L8	15
A6F07HNP40	HNES1 P40	F07	6	T2iLGO	naive	HNES	HN	40
R6F08LSP16	LON80.R1 P16	F08	6	RSeT	prime	LONZA80	L8	16
K6F09LSP16	LON80.B2 P16	F09	6	KSR+FGF2	prime	LONZA80	L8	16
A6F10BJP13	BJ1.A9-B1 P13	F10	6	T2iLGO	naive	BJ1	B1	13
A6F11BJP11	BJ1.A9-B1 P11	F11	6	T2iLGO	naive	BJ1	B1	11
A6F12BJP17	BJ1.A9-B1 P17	F12	6	T2iLGO	naive	BJ1	B1	17
A6G01MIP02	MIPS818.A9-H1 P2	G01	6	T2iLGO	naive	MIPS	M8	2
A6G02MIP09	MIPS818.A9-H1 P9	G02	6	T2iLGO	naive	MIPS	M8	9
A6G03MIP06	MIPS818.A15-H1-B RepiqB P6	G03	6	T2iLGO	naive	MIPS	M8	6
A6G04MIP10	MIPS818.A15-H1-B RepiqB P10	G04	6	T2iLGO	naive	MIPS	M8	10
A6G05MIP08	MIPS220.A18-H1-A RepiqA P8	G05	6	T2iLGO	naive	MIPS	M2	8
R6G06MIP02	MIPS220.R18-H1 P2	G06	6	RSeT	naive	MIPS	M2	2
R6G07MIP08	MIPS220.R18-H1 P8	G07	6	RSeT	prime	MIPS	M2	8
R6G08MIP02	MIPS818.R9-H1 P2	G08	6	RSeT	naive	MIPS	M8	2
R6G09MIP09	MIPS818.R9-H1 P9	G09	6	RSeT	naive	MIPS	M8	9
A6G10MIP15	MIPS818.A9-H1 P15	G10	6	T2iLGO	naive	MIPS	M8	15
A6G11MIP15	MIPS818.A15-H1-B RepiqB P15	G11	6	T2iLGO	naive	MIPS	M8	15
A6G12MIP11	MIPS220.A18-H1-A RepiqA P11	G12	6	T2iLGO	naive	MIPS	M2	11
A6H03MIP14	MIPS220.A18-H1A P14	H03	6	T2iLGO	naive	MIPS	M2	14
P6H04MIP14	MIPS818.B2 P14(12)	H04	6	mTeSR1	prime	MIPS	M8	14
P6H05MIP13	MiPS 220 B7 P13	H05	6	mTeSR1	prime	MIPS	M2	13
